Designator,Value,Manufacturer Part,Manufacturer,Package,Substitute
BOOT,,EVP-BT4A4A000,Panasonic,,ok
C11,100 nF,CL10B104KB8NNNC,Samsung,603,ok
C12,100 nF,CL10B104KB8NNNC,Samsung,603,ok
C13,100 nF,CL10B104KB8NNNC,Samsung,603,ok
C14,100 nF,CL10B104KB8NNNC,Samsung,603,ok
C15,100 nF,CL10B104KB8NNNC,Samsung,603,ok
C16,1 ?F,GRM155R61E105KE11D,Murata,603,ok
C17,100 nF,CL10B104KB8NNNC,Samsung,603,ok
C18,100 nF,CL10B104KB8NNNC,Samsung,603,ok
C19,100 nF,CL10B104KB8NNNC,Samsung,603,ok
C20,100 nF,CL10B104KB8NNNC,Samsung,603,ok
C21,100 nF,CL10B104KB8NNNC,Samsung,603,ok
C22,100 nF,CL10B104KB8NNNC,Samsung,603,ok
C23,100 nF,CL10B104KB8NNNC,Samsung,603,ok
C25,15 pF,GRM1885C2A150JA01D,Murata,603,ok
C26,15 pF,GRM1885C2A150JA01D,Murata,603,ok
C27,22 ?F,CL21A226MOYNNWE,Samsung,805,min. 4.7  ?F @ 6V DC BIAS
C28,22 ?F,CL21A226MOYNNWE,Samsung,805,min. 4.7  ?F @ 6V DC BIAS
C29,22 ?F,CL21A226MOYNNWE,Samsung,805,min. 4.7  ?F @ 6V DC BIAS
C30,22 ?F,CL21A226MOYNNWE,Samsung,805,min. 4.7  ?F @ 6V DC BIAS
C31,10 nF,GCM188R72A103KA37D,Murata,603,no
C32,10 nF,GCM188R72A103KA37D,Murata,603,no
CRYSTAL,,ABM8-272-T3,Abacron,,no
D1,,824501600,Wï¿½rth Elektronik,,ok
D2,,NSR20F30NXT5G,onsemi,603,Fw. current min. 500mA. VDrop max. 500mV
D3,,NSR20F30NXT5G,onsemi,603,Fw. current min. 500mA. VDrop max. 500mV
D4,,NSR20F30NXT5G,onsemi,603,Fw. current min. 1A. VDrop max. 500mV
DC,,D20C+,Mini-Circuits,SOT-23-6,no
DET,,LTC5536ES6#TRMPBF,Analog Devices,TSOT-23-6,no
FLASH,,W25Q128JVSIM,Winbond,,no
GBA,,TRF37C75IDSGT,Texas Instruments,WSON-8,no
GBA/BP,,TRF37D73IDSGR,Texas Instruments,WSON-8,no
LDO3V3,,LP2989ILD-3.3/NOPB,Texas Instruments,WSON-8,no
LDO5V,,LP2989ILD-5.0/NOPB,Texas Instruments,WSON-8,no
LED1,,LB Q39G-N1OO-35-1,Osram,603,ok
LED2,,LB Q39G-N1OO-35-1,Osram,603,ok
LED3,,LB Q39G-N1OO-35-1,Osram,603,ok
LED4,,LB Q39G-N1OO-35-1,Osram,603,ok
LNA,,SKY67150-359LF,Skyworks,DFN-8,no
M1,8.2 nH, 0603DC-8N2XJRW,Coilcraft,603,Murata LQW18AN8N2D10D
M10,10 nH,LQG15HS10NG02D,Murata,402,no
M11,562 ?,ERJ-2RKF5620X,Panasonic,402,ok
M12,10 pF,GRM1555C1H100GA01D,Murata,402,no
M13,2.2 pF,GRM1555C2A2R2CA01D,Murata,402,no
M15,1 k?,RMC1/16SK1001FTH,Kamaya,402,ok
M17,1000 pF,GRM1555C1H102JA01D,Murata,402,no
M18,100 nF,CL10B104KB8NNNC,Samsung,603,ok
M19,100 pF,GRM1555C2A101GA01D,Murata,603,ok
M20,1 ?F,GRM155R61E105KE11D,Murata,603,ok
M21,100 nF,CL10B104KB8NNNC,Samsung,603,ok
M22,100 pF,GRM1555C2A101GA01D,Murata,603,ok
M23,47 pF,GJM1555C1H470FB01D,Murata,402,ok. C0G. high Q. SRF > 1GHz
M24,100 nH,LQG15WZR10G02D,Murata,402,ok
M25,47 pF,GJM1555C1H470FB01D,Murata,402,ok. C0G. high Q. SRF > 1GHz
M27,120 nH,LQW18CNR12J0HD,Murata,603,120nH min. 1A DC SRF > 900MHz
M28,47 pF,GJM1555C1H470FB01D,Murata,402,ok. C0G. high Q. SRF > 1GHz
M3,20 pF,GJM1555C1H200JB01D,Murata,402,no
M4,100 nH,0402DC-R10XGRW,Coilcraft,402,Murata LQW15ANR10J0ZD
M5,1000 pF,GRM1555C1H102JA01D,Murata,402,no
M6,9.1 k?,RMC10K912FTH,Kamaya,603,ok
M8,10000 pF,,,,
M9,10 pF,GRM1555C1H100GA01D,Murata,402,no
MCU,,SC0914(13),Raspberry Pi,QFN,no
N1,47 pF,GJM1555C1H470FB01D,Murata,402,ok. C0G. high Q. SRF > 1GHz
N2,1 ?F,GRM155R61E105KE11D,Murata,603,ok
N3,47 pF,GJM1555C1H470FB01D,Murata,402,ok. C0G. high Q. SRF > 1GHz
N4,100 nH,LQG15WZR10G02D,Murata,402,ok
N5,100 pF,GRM1555C2A101GA01D,Murata,603,ok
N6,100 nF,CL10B104KB8NNNC,Samsung,603,ok
R10,6.8 ?,RMC16-6R8FTP,Kamaya,603,ok
R11,50 ?,RT0603BRE0750RL,Yageo,603,49.9 ? 1% or 50 ? 0.1%
R12,50 ?,RT0603BRE0750RL,Yageo,603,49.9 ? 1% or 50 ? 0.1%
R13,470 ?,CR0603-FX-4700ELF,Bourns,603,ok
R14,91 ?,CR0603-FX-91R0ELF,Bourns,603,ok
R15,91 ?,CR0603-FX-91R0ELF,Bourns,603,ok
R16,91 ?,CR0603-FX-91R0ELF,Bourns,603,ok
R17,91 ?,CR0603-FX-91R0ELF,Bourns,603,ok
R18,1 k?,CR0603-FX-1001ELF,Bourns,603,ok
R19,1 k?,CR0603-FX-1001ELF,Bourns,603,ok
R20,27.4 ?,CRCW060327R4FKEA,Vishay,603,ok
R21,27.4 ?,CRCW060327R4FKEA,Vishay,603,ok
R24,330 k?,CR0603-FX-3303ELF,Bourns,603,ok
R25,330 k?,CR0603-FX-3303ELF,Bourns,603,ok
R26,10 k?,CR0603-FX-1002ELF,Bourns,603,ok
R27,51 k?,CR0603-FX-5102ELF,Bourns,603,ok
R28,10 k?,CR0603-FX-1002ELF,Bourns,603,ok
R29,51 k?,CR0603-FX-5102ELF,Bourns,603,ok
R30,1 k?,CR0603-FX-1001ELF,Bourns,603,ok
RESET,,EVP-BT4A4A000,Panasonic,,ok
SW1,,SKYA21026,Skyworks,QFN-12,no
SW2,,SKYA21026,Skyworks,QFN-12,no
TRIM,200 ?,TS63Y201KR10,Vishay,,ok
USBC,,219320-0001,Molex,,ok
