Quantity,Designator,Value,Manufacturer Part,Manufacturer,
3,M19 M22 N5,100pF,GRM1555C2A101GA01D,Murata,
15,C11 C12 C13 C14 C15 C17 C18 C19 C20 C21 C22 C23 M18 M21 N6,100nF,GRM188R72A104KA35J,Murata,
5,M23 M25 M28 N1 N3,47pF,GJM1555C1H470FB01D,Murata,
4,LED1 LED2 LED3 LED4,,LB Q39G-N1OO-35-1,Osram,
2,BOOT RESET,,EVP-BT4A4A000,Panasonic,
4,R14 R15 R16 R17,91,CR0603-FX-91R0ELF,Bourns,
3,C16 M20 N2,1uF,GRM155R61E105KE11D,Murata,
2,C25 C26,15pF,GRM1885C2A150JA01D,Murata,
4,C27 C28 C29 C30,10?F,GRM21BR61A476ME15K,Murata,
2,C31 C32,10nF,GRM1885C1H103JA01J,Murata,
1,CRYSTAL,,ABM8-272-T3,Abacron,
1,D1,,824501600,WÃ¼rth Elektronik,
3,D2 D3 D4,,NSR20F30NXT5G,onsemi,
1,DC,,D20C+,Mini-Circuits,
1,DET,,LTC5536ES6#TRMPBF,Analog Devices,
1,FLASH,,W25Q128JVSIM,Winbond,
2,GBA GBA/BP,,TRF37D73IDSGR,Texas Instruments,
1,LDO3V3,,LP2989ILD-3.3/NOPB,Texas Instruments,
1,LDO5V,,LP2989ILD-5.0/NOPB,Texas Instruments,
1,LNA,,SKY67150-359LF,Skyworks,
2,M24 N4,100nH,LQW15ANR10J00D,Murata,
1,M27,120nH,LQW18CNR12J0HD,Murata,
1,MCU,,SC0914(13),Raspberry Pi,
2,R11 R12,50,RT0603BRE0750RL,Yageo,
1,R13,200,CR0603-FX-2000ELF,Bourns,
3,R18 R19 R30,1k,CR0603-FX-1001ELF,Bourns,
2,R20 R21,27.4,CRCW060327R4FKEA,Vishay,
2,R24 R25,330k,CR0603-FX-3303ELF,Bourns,
2,R26 R28,10k,CR0603-FX-1002ELF,Bourns,
2,R27 R29,51k,CR0603-FX-5102ELF,Bourns,
2,SW1 SW2,,SKYA21026,Skyworks,
1,TRIM,,TS63Y201KR10,Vishay,
1,USBC,,219320-0001,Molex,
